indicator_id,statistic_type,dimension,categoria,pct,es,ci_low,ci_high,cv,n_unw,target_unw,base_unw,local_critical,cell_critical
VP_ESCUELA,prevalence,Departamento,Amazonas,38.7607061953096,3.4269133033955503,32.03661307551376,45.48479931510543,0.0884120450780187,907.0,364,907,2.000995378088267,2.001717484145236
VP_ESCUELA,prevalence,Departamento,Apurímac,50.92960580832767,2.471641051264745,46.07989321975802,55.77931839689732,0.0485305356685207,698.0,355,698,2.016692199227824,2.016692199227824
VP_ESCUELA,prevalence,Departamento,Arequipa,42.21950528080137,1.6923484787167913,38.89887596964805,45.5401345919547,0.0400845170368767,760.0,322,760,2.0226909200367604,2.0226909200367604
VP_ESCUELA,prevalence,Departamento,Ayacucho,44.7071161320931,2.984288227831504,38.85151659872687,50.56271566545932,0.0667519734221735,650.0,295,650,2.0210753903062733,2.0226909200367604
VP_ESCUELA,prevalence,Departamento,Cajamarca,33.60439748786892,2.316858646123794,29.05839007457828,38.150404901159554,0.068945103002075,783.0,258,783,2.004044783289145,2.0057459953178687
VP_ESCUELA,prevalence,Departamento,Callao,35.71673118026904,2.248085559620314,31.305666380591347,40.12779597994673,0.0629420858329337,610.0,218,610,2.0422724563012378,2.0422724563012378
VP_ESCUELA,prevalence,Departamento,Cusco,35.82781091918243,2.546438501208622,30.83133505590503,40.82428678245984,0.0710743535783606,716.0,251,716,2.016692199227824,2.0180817028184443
VP_ESCUELA,prevalence,Departamento,Huancavelica,30.724107988942407,2.764973442989379,25.298835372328128,36.149380605556686,0.0899936116610608,771.0,229,771,2.0057459953178687,2.00957523712924
VP_ESCUELA,prevalence,Departamento,Huánuco,35.84962759536246,3.29513323660085,29.38410577924756,42.31514941147737,0.0919154104972379,687.0,258,687,2.016692199227824,2.016692199227824
VP_ESCUELA,prevalence,Departamento,Ica,38.42711908431893,2.1626227461921186,34.18374452506883,42.670493643569024,0.0562785552944203,716.0,263,716,2.026192463029109,2.026192463029109
VP_ESCUELA,prevalence,Departamento,Junín,48.46338632407278,1.8156806074994245,44.90076176962709,52.02601087851848,0.0374649966751815,696.0,335,696,2.0226909200367604,2.0226909200367604
VP_ESCUELA,prevalence,Departamento,La Libertad,40.15537705184624,2.431207726401833,35.38500041882931,44.92575368486318,0.0605450105290457,687.0,282,687,2.0226909200367604,2.0243941639119694
