indicator_id,dimension,category,parent_row_sha256
Agresor_VS_VIDA__AG_04,Nacional,Total,64046328439fcdd8308292e39fef00b5440bb0caf81451179e0b722661ade89f
Agresor_VS_VIDA__AG_05,Nacional,Total,dd3d66b4c8ee049faeb89454fa8abd12e265e8b291490ac1158bb07ae48a683b
Agresor_VS_VIDA__AG_06,Nacional,Total,d603ad15a9f96f49fce8c445aac6a95406cec121edaaa883b1cc7867d42f4108
Agresor_VS_VIDA__AG_07,Nacional,Total,89a978c0c0d6f5abb2a3361166d2ba758a58b7069a5e35f03133adddfa56f9ec
Agresor_VS_VIDA__AG_08,Nacional,Total,22e6db093f77d2d5a169d0f697dff249d8d072f51ccd2fc5ae04c8ea40eda2e6
Agresor_VS_VIDA__AG_09,Nacional,Total,d556bb8b59a354764af6b0ad4978fb6c321dd7b7c31e1143982e5f8df99b99ff
C3P201_10_1,Nacional,Total,31018c97cf4197cc22e241af9ddfc4350227fa3a2a80942299f9bd83f66e52ce
C3P201_11_1,Nacional,Total,f9aa09d52604a5942a53cffe22589c28e97e7082c5f9838618bace22360725c6
C3P201_1_1,Nacional,Total,bc213df7be275a482192d03f7593dcbda2dbbb704893f261570efcd7a10dcb53
C3P201_2_1,Nacional,Total,2139d8250e48400ef0956af19d0be7289c48dc9d67455fad1fe0f67bd3e66737
C3P201_3_1,Nacional,Total,6a939b4841661b9ddd92c1f26962ca5d07d81f1755afba4bcd6274470bc1eca4
C3P201_4_1,Nacional,Total,40ab2ffb2c44d37498fef113fdac880927bdabca1709f5a9cc42b35908ef43b5
C3P201_5_1,Nacional,Total,958a8729a3f687a3a04a2cf3443e6684a5dd6657bdb25ad4785ca27f306f39d9
C3P201_6_1,Nacional,Total,f9f74876980997ec4715ed99e90a49d1de12c06dc472ea32e4dd71523e84980e
C3P201_7_1,Nacional,Total,c514d64ecf845e338ad746f9936273dfbc6f26d7e816f927fc2b5d9e16c02b25
C3P201_8_1,Nacional,Total,89ab66dfc3a4d4a17d7304965a1f9ac3844b2c3f74f970e3a204551159195696
C3P201_9_1,Nacional,Total,250266d72e4c39dd15d7d8e1c2d074f2e25555ff5e810973b969ca2019002f12
"C3P205_1_1,",Nacional,Total,87930a03f1e15c97cf47c821bcb6724ec38484e5d0009c44c19ae2111caee0b3
"C3P205_2_1,",Nacional,Total,b3672d28c126f6eefc6ba3dd86e3ce53d5587a94ec0d7d0cfd98643300c52fb5
"C3P205_3_1,",Nacional,Total,42ae710450de830ebad9b1738bb483dc169dc6458b08036e88f695c43e383da7
"C3P205_4_1,",Nacional,Total,6a3e92031c7fcba25bbfeb4c187288c1c343b87ea9396258ee6a067a0d354947
"C3P205_5_1,",Nacional,Total,ff49b1d9a9ec6c9083e8b819219f4691cd6f5c0b36f4bf6103b542645abc32c4
"C3P205_6_1,",Nacional,Total,61d1fb79ded32b13a81449f0ecccbca73f8227082008737cb013c5c5b54360b1
C3P205_7_1,Nacional,Total,1d528b526fe92fb71b30bc945fa7164e786d67e938ae00105b92cf1f7601e5fe
C3P213,Nacional,Total,51d8c76d14fe8ca7b7f5ddae62dc142f53cb3b7447a3e99735c0abc78e2cd865
C3P215_1,Nacional,Total,db0d040a4ab94450986c40faad4c52a13cb02afd64c144b0892a78cfdfe98903
C3P215_10,Nacional,Total,01f873e355393459111f9c7ff5d5da1baa1c15796f767fdaf0c125e468df226d
C3P215_11,Nacional,Total,880a6a964ef2bd60649de0c4a159c2eac830c86de08001d9642f0e6da368c25d
C3P215_2,Nacional,Total,4b86d955c59a031e5a934e8cfab0620ac043d3aaf3656aaf06ab4efcc1fbb734
C3P215_3,Nacional,Total,9bed649d30761887b183ee1a9cfd7fe9536c77108772e08b3fda0519dc3a279a
C3P215_4,Nacional,Total,8dd614ff66a512f85e7659d9ad081a07523637d99ceabd63926a5384d2d13199
C3P215_5,Nacional,Total,bbdead4cee7d45c0236b81642ac748fe83bd61b3ff9a42f9e1979b776b5f1ad3
C3P215_6,Nacional,Total,3c3d2e88ef43ec001eb227db8feec13e51fe46e19722dff2a7bbd76c89b5d843
C3P215_7,Nacional,Total,910b59f7060391e9b450320496aaf8fb41d20e433ab05670bda6ffa636bd3696
C3P215_8,Nacional,Total,c93b107f0cb6243b7f6ae9cb33f249d912e26895575807fb0d523afc2d001288
C3P215_9,Nacional,Total,45d821c3cee62765ead8394149e07039ca2e090a31c25c7caf28cadfee025a22
