indicator_id,dimension,category_key,category_occurrence,categoria_spss,pct_spss,es_spss,ci_low_spss,ci_high_spss,cv_spss,n_unw_spss,categoria_r,pct_r,es_r,ci_low_r,ci_high_r,cv_r,n_unw_r,target_unw_r,base_unw_r,local_critical_r,cell_critical_r,pct_igual,es_igual,ci_low_igual,ci_high_igual,cv_igual,n_unw_igual,IGUAL,EXCEPCION_DOCUMENTADA,VALIDADO,estado_fila
VP_ESCUELA,Departamento,moquegua,1,Moquegua,37.8,1.9,34.1,41.6,0.051,670.0,Moquegua,37.8396040239907,1.916176544381118,34.07979209480633,41.59941595317508,0.0506394449362166,670.0,264,670,2.0301079282503425,2.0301079282503425,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,pasco,1,Pasco,45.8,2.2,41.5,50.0,0.047,990.0,Pasco,45.76291943678914,2.169340592842625,41.50636350338588,50.0194753701924,0.0474038942344809,990.0,465,990,1.999623584994939,1.999623584994939,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,piura,1,Piura,38.5,2.9,32.8,44.3,0.076,658.0,Piura,38.530236089576015,2.9274968317622188,32.786069382711325,44.274402796440704,0.0759792082497575,658.0,243,658,2.026192463029109,2.026192463029109,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,puno,1,Puno,46.6,2.9,41.0,52.2,0.061,979.0,Puno,46.62326777538927,2.8555160913008937,41.02033755712037,52.22619799365816,0.0612465883999709,979.0,460,979,2.000995378088267,2.000995378088267,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,region lima,1,Región Lima,39.7,2.5,34.8,44.6,0.063,679.0,Región Lima,39.73044680258668,2.494559598603619,34.83576475233723,44.62512885283613,0.0627871015646672,679.0,267,679,2.026192463029109,2.026192463029109,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,san martin,1,San Martín,32.1,1.9,28.3,35.9,0.06,649.0,San Martín,32.1046773642645,1.9413140473514383,28.295542065678248,35.913812662850745,0.0604682621577223,649.0,213,649,2.0226909200367604,2.0226909200367604,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,tacna,1,Tacna,39.8,2.9,34.0,45.5,0.074,659.0,Tacna,39.76266662628623,2.947272834362044,33.97969657914247,45.54563667343,0.0741216091481567,659.0,259,659,2.0345152974493383,2.0345152974493383,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,tumbes,1,Tumbes,40.5,3.0,34.6,46.3,0.074,677.0,Tumbes,40.45062559995591,2.97446708093257,34.614296558850505,46.2869546410613,0.0735332775900457,677.0,271,677,2.0301079282503425,2.0301079282503425,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,ucayali,1,Ucayali,33.3,3.3,26.8,39.7,0.098,695.0,Ucayali,33.262313458871446,3.2730040532417,26.840212259620262,39.68441465812263,0.0983997717804187,695.0,233,695,2.0226909200367604,2.026192463029109,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Discapacidad,bin_0,1,No,39.5,0.8,38.0,41.0,0.019,16778.0,0,39.45798047060087,0.7631963635060501,37.96048025318382,40.95548068801793,0.0193420026672345,16778.0,6567,16778,1.962142757779508,1.9621981601875311,True,True,True,True,True,True,True,False,True,EN_AMBOS
